category	extensions	mimes	name	pattern	patternVariant
other	.swf	application/x-shockwave-flash	Adobe Flash File	"[{""fromIndex"":0,""hex"":""43 57 53""}]"	C
other	.swf	application/x-shockwave-flash	Adobe Flash File	"[{""fromIndex"":0,""hex"":""46 57 53""}]"	F
document	.indd	application/x-indesign	Adobe InDesign Document	"[{""fromIndex"":0,""hex"":""06 06 ED F5 D8 1D 46 E5 BD 31 EF E7 FE 74 B7 1D""}]"	
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 01""}]"	No Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 5E""}]"	Best Speed Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 9C""}]"	Default Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 DA""}]"	Best Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 20""}]"	No Compression With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 7D""}]"	Best Speed With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 BB""}]"	Default Compression With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 F9""}]"	Best Compression With Preset Dictionary
archive	.zoo	application/x-zoo	Zoo File	"[{""fromIndex"":0,""hex"":""5A 4F 4F""}]"	
image	.pbm	image/x-portable-bitmap	Portable Bitmap ASCII	"[{""fromIndex"":0,""hex"":""50 31 0A""}]"	
image	.pbm	image/x-portable-bitmap	Portable Bitmap Binary	"[{""fromIndex"":0,""hex"":""50 34 0A""}]"	
other	.pgm	image/x-portable-graymap	Portable Gray Map ASCII	"[{""fromIndex"":0,""hex"":""50 32 0A""}]"	
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 09""}]"	Tab
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 0A""}]"	LF
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 0D""}]"	CR
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 20""}]"	Space
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 09""}]"	Tab
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 0A""}]"	LF
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 0D""}]"	CR
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 20""}]"	Space
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 09""}]"	Tab
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 0A""}]"	LF
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 0D""}]"	CR
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 20""}]"	Space
image	.j2c, .j2k, .jp2, .jpc, .jpf, .jpg2, .jpm, .jpx, .mj2	image/jp2, image/jpm, image/jpx, image/mj2, image/x-jp2-codestream, video/mj2	JPEG 2000 Image	"[{""fromIndex"":0,""hex"":""00 00 00 0C 6A 50 20 20 0D 0A 87 0A""}]"	Long
image	.j2c, .j2k, .jp2, .jpc, .jpf, .jpg2, .jpm, .jpx, .mj2	image/jp2, image/jpm, image/jpx, image/mj2, image/x-jp2-codestream, video/mj2	JPEG 2000 Image	"[{""fromIndex"":0,""hex"":""FF 4F FF 51""}]"	Short
other	.hl7		Electronic Data Exchange Health Level Seven (HL7) Standard File	"[{""fromIndex"":0,""hex"":""42 53 48 7C""}]"	B
other	.hl7		Electronic Data Exchange Health Level Seven (HL7) Standard File	"[{""fromIndex"":0,""hex"":""4D 53 48 7C""}]"	M
database	.sqlitedb, .sqlite, .db	application/vnd.sqlite3	SQLite Database	"[{""fromIndex"":0,""hex"":""53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00""}]"	
image	.pic	image/x-pict	IBM Storyboard Bitmap File	"[{""fromIndex"":0,""hex"":""00""}]"	
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""66 74 79 70 71 74""}]"	ftypqt
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""66 72 65 65""}]"	free
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""6D 64 61 74""}]"	mdat
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""6D 6F 6F 76""}]"	moov
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""73 6B 69 70""}]"	skip
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""77 69 64 65""}]"	wide
other	.pif		Windows Program Information File	"[{""fromIndex"":0,""hex"":""00""}]"	
archive	.sea	application/x-sea	Mac Stuffit Self-Extracting Archive	"[{""fromIndex"":0,""hex"":""00""}]"	
other	.ytr		IRIS OCR Data File	"[{""fromIndex"":0,""hex"":""00""}]"	
other			Palm Desktop Data File (Access Format)	"[{""fromIndex"":0,""hex"":""00 01 00 00""}]"	
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 65""}]"	e
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 66""}]"	f
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 67""}]"	g
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 68""}]"	h
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 6D""}]"	m
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 70""}]"	p
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 72""}]"	r
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 73""}]"	s
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 74""}]"	t
video	.3g2	video/3gpp2	3rd Generation Partnership Project 2 Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 32""}]"	3g2
video	.3g2	video/3gpp2	3rd Generation Partnership Project 2 Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 4B 44 44 49""}]"	KDDI
compressed	.tar.z, .z	application/x-compress	Tar Zip Lempel-Ziv-Welch Algorithm Archive / UNIX Compress	"[{""fromIndex"":0,""hex"":""1F 9D""}]"	
compressed	.tar.z, .z	application/x-compress	Tar Zip LZH Algorithm Archive / UNIX Compress	"[{""fromIndex"":0,""hex"":""1F A0""}]"	
image	.gif	image/gif	Graphics Interchange Format (GIF) File	"[{""fromIndex"":0,""hex"":""47 49 46 38 37 61""}]"	7
image	.gif	image/gif	Graphics Interchange Format (GIF) File	"[{""fromIndex"":0,""hex"":""47 49 46 38 39 61""}]"	9
image	.tif, .tiff	image/tiff	Tagged Image File Format (TIFF)	"[{""fromIndex"":0,""hex"":""4D 4D 00 2A""}]"	BE, 2A
image	.tif, .tiff	image/tiff	Tagged Image File Format (TIFF)	"[{""fromIndex"":0,""hex"":""49 49 00 2B""}]"	BE, 2B
image	.tif, .tiff	image/tiff	Tagged Image File Format (TIFF)	"[{""fromIndex"":0,""hex"":""49 49 2A 00""}]"	LE, 2A
image	.tif, .tiff	image/tiff	Tagged Image File Format (TIFF)	"[{""fromIndex"":0,""hex"":""49 49 2B 00""}]"	LE, 2B
image	.crw	image/x-canon-crw	Canon RAW Format	"[{""fromIndex"":0,""hex"":""49 49 1A 00 00 00 48 45 41 50 43 43 44 52""}]"	
image	.cr2	image/x-canon-cr2	Canon RAW Format Version 2	"[{""fromIndex"":0,""hex"":""49 49 2A 00 10 00 00 00 43 52""}]"	
image	.cr2	image/x-canon-cr2	Canon RAW Format Version 2	"[{""fromIndex"":0,""hex"":""4D 4D 00 2A 10 00 00 00 43 52""}]"	
image	.cr3	image/x-canon-cr3	Canon RAW Format Version 3	"[{""fromIndex"":4,""hex"":""66 74 79 70 63 72 78""}]"	
image	.cin	image/cineon	Kodak Cineon Image	"[{""fromIndex"":0,""hex"":""80 2A 5F D7""}]"	
archive			Rob Northen Compression (Version 1) Algorithm Archive	"[{""fromIndex"":0,""hex"":""52 4E 43 01""}]"	
archive			Rob Northen Compression (Version 2) Algorithm Archive	"[{""fromIndex"":0,""hex"":""52 4E 43 02""}]"	
image	.nui		nuru Image File	"[{""fromIndex"":0,""hex"":""4E 55 52 55 49 4D 47""}]"	
other	.nup		nuru Palette File	"[{""fromIndex"":0,""hex"":""4E 55 52 55 50 41 4C""}]"	
image	.dpx	image/x-dpx	Digital Picture Exchange (DPX) Image	"[{""fromIndex"":0,""hex"":""53 44 50 58""}]"	BE
image	.dpx	image/x-dpx	Digital Picture Exchange (DPX) Image	"[{""fromIndex"":0,""hex"":""58 50 44 53""}]"	LE
image	.exr	image/aces, image/x-exr	OpenEXR Image	"[{""fromIndex"":0,""hex"":""76 2F 31 01""}]"	
	.bpg		Better Portable Graphic (BPG)	"[{""fromIndex"":0,""hex"":""42 50 47 FB""}]"	
	.iso	application/x-iso9660-image	ISO9660 CD/DVD Image	"[{""fromIndex"":32769,""hex"":""43 44 30 30 31""}]"	1
	.iso	application/x-iso9660-image	ISO9660 CD/DVD Image	"[{""fromIndex"":34817,""hex"":""43 44 30 30 31""}]"	2
	.iso	application/x-iso9660-image	ISO9660 CD/DVD Image	"[{""fromIndex"":36865,""hex"":""43 44 30 30 31""}]"	3
	.qoi		Quite OK Image (QOI)	"[{""fromIndex"":0,""hex"":""71 6F 69 66""}]"	
	.ilbm, .lbm, .ibm, .iff		IFF Interleaved Bitmap Image	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""49 4C 42 4D""}]"	
	.8svx, .8sv, .svx, .snd, .iff	audio/basic	IFF 8-Bit Sampled Voice	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""38 53 56 58""}]"	
	.acbm, .iff		Amiga Contiguous Bitmap File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""41 43 42 4D""}]"	
	.anbm, .iff		IFF Animated Bitmap File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""41 4E 42 4D""}]"	
	.anim, .iff		IFF CEL Animation File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""41 4E 49 4D""}]"	
	.faxx, .fax, .iff		IFF Facsimile Image	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""46 41 58 58""}]"	
	.ftxt, .iff		IFF Formatted Text File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""46 54 58 54""}]"	
	.smus, .smu, .mus, .iff	application/vnd.musician	IFF Simple Musical Score File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""53 4D 55 53""}]"	
	.cmus, .mus, .iff	application/vnd.musician	IFF Musical Score File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""43 4D 55 53""}]"	
	.yuv, .yuvn, .iff		IFF YUV Image	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""59 55 56 4E""}]"	
	.iff		Amiga Fantavision Movie	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""46 41 4E 54""}]"	
	.aif, .aifc, .aiff, .iff, .snd	audio/x-aiff, audio/basic	Audio Interchange File	"[{""fromIndex"":0,""hex"":""46 4F 52 4D""},{""fromIndex"":8,""hex"":""41 49 46 46""}]"	
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""3C 3F 78 6D 6C 20""}]"	1
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""3C 00 3F 00 78 00 6D 00 6C 00 20""}]"	2
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""00 3C 00 3F 00 78 00 6D 00 6C 00 20""}]"	3
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""3C 00 00 00 3F 00 00 00 78 00 00 00 6D 00 00 00 6C 00 00 00 20 00 00 00""}]"	4
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""00 00 00 3C 00 00 00 3F 00 00 00 78 00 00 00 6D 00 00 00 6C 00 00 00 20""}]"	5
	.xml	application/xml, text/xml	eXtensible Markup Language (XML) File	"[{""fromIndex"":0,""hex"":""4C 6F A7 94 93 40""}]"	6
	.wim, .swm, .esd		Windows Imaging Format File	"[{""fromIndex"":0,""hex"":""4D 53 57 49 4D 00 00 00 D0 00 00 00 00""}]"	
	.webp	image/webp	WebP Image File	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""57 45 42 50""}]"	
	.psd	image/vnd.adobe.photoshop	Adobe Photoshop Document File	"[{""fromIndex"":0,""hex"":""38 42 50 53""}]"	
	.bmp	image/bmp, image/x-ms-bmp	BMP Image File	"[{""fromIndex"":0,""hex"":""42 4D""}]"	
	.wasm	application/wasm	WebAssembly Binary	"[{""fromIndex"":0,""hex"":""00 61 73 6D""}]"	
	.jpg, .jpeg	image/jpeg	JPEG Image	"[{""fromIndex"":0,""hex"":""FF D8 FF DB""}]"	DB
	.jpg, .jpeg	image/jpeg	JPEG Image	"[{""fromIndex"":0,""hex"":""FF D8 FF E0""}]"	E0
	.jpg, .jpeg	image/jpeg	JPEG Image	"[{""fromIndex"":0,""hex"":""FF D8 FF EE""}]"	EE
	.jpg, .jpeg	image/jpeg	JPEG JFIF Image	"[{""fromIndex"":0,""hex"":""FF D8 FF E0 00 10 4A 46 49 46 00 01""}]"	
	.jpg, .jpeg	image/jpeg	JPEG Exif Image	"[{""fromIndex"":0,""hex"":""FF D8 FF E1""},{""fromIndex"":6,""hex"":""45 78 69 66 00 00""}]"	
	.lz		LZip Archive	"[{""fromIndex"":0,""hex"":""4C 5A 49 50""}]"	
	.cpio	application/x-cpio	cpio Archive	"[{""fromIndex"":0,""hex"":""30 37 30 37 30 37""}]"	
executable	.exe	application/x-dosexec, application/x-msdos-program, application/x-msdownload	MS-DOS Executable	"[{""fromIndex"":0,""hex"":""4D 5A""}]"	MZ
executable	.exe	application/x-dosexec, application/x-msdos-program, application/x-msdownload	MS-DOS Executable	"[{""fromIndex"":0,""hex"":""5A 4D""}]"	ZM
	.rar	application/vnd.rar, application/x-rar-compressed	Roshal Archive V1.50	"[{""fromIndex"":0,""hex"":""52 61 72 21 1A 07 00""}]"	
	.rar	application/vnd.rar, application/x-rar-compressed	Roshal Archive V5.00	"[{""fromIndex"":0,""hex"":""52 61 72 21 1A 07 01 00""}]"	
			Executable & Linkable Format	"[{""fromIndex"":0,""hex"":""7F 45 4C 46""}]"	
	.png	image/png	Portable Network Graphics (PNG) Image	"[{""fromIndex"":0,""hex"":""89 50 4E 47 0D 0A 1A 0A""}]"	
	.com	application/x-msdownload	CP/M 3 File	"[{""fromIndex"":0,""hex"":""C9""}]"	
	.d64		Commodore 64 1541 Disk Image (D64 Format)	"[{""fromIndex"":91556,""hex"":""A0 32 41 A0 A0 A0""}]"	
	.g64		Commodore 64 1541 Disk Image (G64 Format)	"[{""fromIndex"":0,""hex"":""47 53 52 2D 31 35 34 31""}]"	
	.d81		Commodore 64 1581 Disk Image (D81 Format)	"[{""fromIndex"":399385,""hex"":""A0 33 44 A0 A0""}]"	
	.t64		Commodore 64 Tape Image	"[{""fromIndex"":0,""hex"":""43 36 34 20 74 61 70 65 20 69 6D 61 67 65 20 66 69 6C 65""}]"	
	.crt		Commodore 64 Cartridge Image	"[{""fromIndex"":0,""hex"":""43 36 34 20 43 41 52 54 52 49 44 47 45 20 20 20""}]"	
	.class	application/java-vm	Java Class File	"[{""fromIndex"":0,""hex"":""CA FE BA BE""}]"	
	.class		Mach-O Fat Binary	"[{""fromIndex"":0,""hex"":""CA FE BA BE""}]"	
			Mach-O Binary	"[{""fromIndex"":0,""hex"":""FE ED FA CE""}]"	32-Bit, Head 0
			Mach-O Binary	"[{""fromIndex"":4096,""hex"":""FE ED FA CE""}]"	32-Bit, Head 4096
			Mach-O Binary	"[{""fromIndex"":0,""hex"":""FE ED FA CF""}]"	64-Bit, Head 0
			Mach-O Binary	"[{""fromIndex"":4096,""hex"":""FE ED FA CF""}]"	64-Bit, Head 4096
			Mach-O Binary	"[{""fromIndex"":0,""hex"":""CE FA ED FE""}]"	32-Bit, Reverse Byte Ordering Scheme
			Mach-O Binary	"[{""fromIndex"":0,""hex"":""CF FA ED FE""}]"	64-Bit, Reverse Byte Ordering Scheme
	.jks		Java Key Store File	"[{""fromIndex"":0,""hex"":""FE ED FE ED""}]"	
	.ps	application/postscript	PostScript Document	"[{""fromIndex"":0,""hex"":""25 21 50 53""}]"	
	.eps, .epsf	application/postscript	Encapsulated PostScript File Version 3.0	"[{""fromIndex"":0,""hex"":""25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30""}]"	
	.eps, .epsf	application/postscript	Encapsulated PostScript File Version 3.1	"[{""fromIndex"":0,""hex"":""25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30""}]"	
	.chm	application/vnd.ms-htmlhelp	Windows HTML Help Data	"[{""fromIndex"":0,""hex"":""49 54 53 46 03 00 00 00 60 00 00 00""}]"	
	.hlp	application/winhlp	Windows Help file	"[{""fromIndex"":0,""hex"":""3F 5F""}]"	Short
	.hlp	application/winhlp	Windows Help file	"[{""fromIndex"":6,""hex"":""00 00 FF FF FF FF""}]"	Long
	.pdf	application/pdf	Portable Document Format (PDF) File	"[{""fromIndex"":0,""hex"":""25 50 44 46 2D""}]"	
	.asf, .wma, .wmv	video/x-ms-asf	Advanced Systems Format Video	"[{""fromIndex"":0,""hex"":""30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C""}]"	
			System Deployment Image	"[{""fromIndex"":0,""hex"":""24 53 44 49 30 30 30 31""}]"	
	.ogg, .oga	audio/ogg	Ogg Audio	"[{""fromIndex"":0,""hex"":""4F 67 67 53""}]"	
	.ogv	video/ogg	Ogg Video	"[{""fromIndex"":0,""hex"":""4F 67 67 53""}]"	
	.wav	audio/wav, audio/wave, audio/x-wav, audio/vnd.wave, audio/x-pn-wav	Waveform Audio	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""57 41 56 45""}]"	
	.avi	video/x-msvideo	Audio Video Interleave (AVI)	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""41 56 49 20""}]"	
	.mp3	audio/mp3	MP3 Audio	"[{""fromIndex"":0,""hex"":""FF FB FF F3 FF F2""}]"	
	.mp3	audio/mpeg	MP3 Audio With ID3v2 Container	"[{""fromIndex"":0,""hex"":""49 44 33""}]"	
	.cdi		CD-i CD Image	"[{""fromIndex"":387785,""hex"":""43 44 30 30 31""}]"	
	.mgw		Nintendo Game & Watch Image	"[{""fromIndex"":0,""hex"":""6D 61 69 6E 2E 62 73""}]"	
	.nes		Nintendo Entertainment System Image	"[{""fromIndex"":0,""hex"":""4E 45 53""}]"	
	.fits	image/fits	Flexible Image Transport System (FITS) File	"[{""fromIndex"":0,""hex"":""53 49 4D 50 4C 45 20 20 3D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54""}]"	
	.flac	audio/x-flac	Free Lossless Audio Codec (FLAC) File	"[{""fromIndex"":0,""hex"":""66 4C 61 43""}]"	
	.mid, .midi	audio/midi	MIDI Sound File	"[{""fromIndex"":0,""hex"":""4D 54 68 64""}]"	
	.dex		Dalvik Executable	"[{""fromIndex"":0,""hex"":""64 65 78 0A 30 33 35 00""}]"	
	.vmdk	application/x-virtualbox-vmdk	VMware Virtual Disk	"[{""fromIndex"":0,""hex"":""4B 44 4D""}]"	
	.vmdk	application/x-virtualbox-vmdk	VMware 4 Virtual Disk Description File	"[{""fromIndex"":0,""hex"":""23 20 44 69 73 6B 20 44 65 73 63 72 69 70 74 6F""}]"	
	.crx	application/x-chrome-extension	Google Chrome Extension	"[{""fromIndex"":0,""hex"":""43 72 32 34""}]"	
